OutPut Text
1: reverentially 
2: reveries
1: reveries 
1: reversing
1: revery
1: reviewed
1: revival
1: revive
2: revived
1: revivified
1: revolutions
1: revolve 
1: revolved
3: revolving
1: revulsion 
1: reward
1: reward 
1: rheumatic
1: rhodes 
1: rhubarb 
1: rhyme
1: rhyme 
2: rib
2: ribbed
1: ribbons 
1: ribby
4: ribs
1: ribs 
1: rich 
2: richard
1: richardson s
1: richer 
1: rickety
1: rid
1: riddles
2: ride
2: rider 
1: rides
2: ridge
1: ridge 
1: ridges 
2: ridiculous
2: ridiculous 
2: rifle
1: rifled
1: rig
2: rig 
1: rigadig
1: rigger
2: rigger 
2: riggers
1: riggers 
6: rigging
6: rigging 
69: right
8: right 
1: right down
1: right whale
1: righted 
1: righteous
2: rightly
1: rights
1: rights 
1: rigid
1: rigorous
1: rim 
1: rimmed
1: rinaldini 
1: rinaldo
4: ring
2: ring 
1: ring bolt
1: ring bolts 
3: ringed
1: ringing 
2: ringleader
1: ringleader 
2: rings
1: rioting
1: riotously
1: riots
2: ripe
1: ripe 
1: ripening
1: ripped
1: ripples 
1: rippling
1: rips
5: rise
1: risen
2: rises
1: rises  
14: rising
4: risk
1: rituals
1: rity
1: rival 
1: river
1: river 
2: rivers
1: rivers 
3: riveted
1: road
1: road 
1: roadside
4: roar
7: roared
2: roared 
6: roaring
1: roasted
1: rob
1: robbed
1: robbers 
2: robe
1: robed
1: robert
3: robes
2: robes 
2: robust
1: robustness
1: robustness 
6: rock
1: rock 
1: rock slide
1: rockaway
3: rocked
1: rockets
2: rocking
1: rockings
5: rocks
3: rocks 
2: rocky
1: rod
1: rod like
1: rodmond
1: rogers s
1: rogues  
3: rokovoko 
7: roll
1: roll 
23: rolled
1: rollicking 
9: rolling
1: rolling 
1: rollings
9: rolls
1: rolls 
7: roman
2: roman 
1: romans
4: romantic
1: romantic 
1: rome
1: rome 
3: romish
1: rondeletius
1: roofs 
21: room
20: room 
1: room  
2: rooms
1: roosting place
3: root
2: rooted
1: roots
12: rope
7: rope 
1: rope s
2: rope yarn
3: ropes
7: rose
4: rose 
1: rose water
1: roses
2: roses 
3: ross
1: rostrated
1: rosy strong
1: rotation
1: rotund
4: rough
1: roughly 
99: round
10: round 
2: rounded
2: rounding
1: roundingly
1: roundness
2: rounds
1: rounds 
1: rouse
1: roused
1: rouses
1: route 
11: row
1: rowed
2: rowing
1: rowing 
1: rowlocks 
4: rows
11: royal
1: royal mast
1: royals
1: royalties
2: royalty
1: rub
2: rubbed
2: rubbing
1: ruddy
2: rude
2: rudely
1: rudeness
1: ruefully
1: ruffled
1: ruffles 
1: ruggedest 
1: ruggedness
2: ruin
1: ruined
2: ruins
2: rule
1: rule 
3: rules
1: ruling
1: rumbling
2: ruminated
1: ruminating
1: rumour
7: rumours
2: rumours 
2: rumpled
25: run
3: run 
26: running
3: runs
1: rural
8: rush
9: rushed
2: rushes
7: rushing
2: russian
2: rust
1: rust 
1: rustle
1: rustlings
1: rusty
21: s
1: s pose
1: s w f 
1: sabbath
1: sabbath 
4: sabbee
1: sable
1: sable 
1: sachem s
1: sack
1: sacked
1: saco 
6: sacred
2: sacrifice
2: sacrificial
3: sad
2: sadder
1: saddest
6: sadly
1: sadly 
2: sadness
2: safe
2: safe 
3: safely
3: safety
2: safety 
1: safety s
4: sag
2: sagacious
1: sagacity
1: sage
171: said
22: said 
34: sail
13: sail 
1: sail boat
1: sail makers
1: sail needles
22: sailed
6: sailed 
12: sailing
2: sailing 
1: sailings
3: sailoe 
21: sailor
40: sailor 
1: sailor like
27: sailors
8: sailors 
12: sails
3: sails 
1: saint
1: saint s
3: saith
5: sake
6: sake 
2: sal
1: salaamed
1: salad 
1: saladin s 
1: salem 
1: saline
2: salisbury
4: sallied
1: sallies 
1: sallow
1: sally
1: salt
3: salt 
1: salt cellar
1: salt junk 
2: salt sea
3: salted
1: salts
1: salutation
1: salutations
1: salutes
1: salva 
2: salvation 
2: sam
103: same
3: same 
1: samphire
2: samuel
1: samuel 
1: sanctity 
4: sand
1: sand 
1: sandpaper
1: sands
1: sands 
1: sandwich
1: sane 
1: sanely
1: sang
1: sanguinary
1: sanity
1: sanity 
2: sank
2: sank 
1: santa
2: sapling
1: saplings
1: saratoga
1: sarmon
1: sartain 
1: sartainty  
29: sat
3: sat 
1: satan s
1: satiety 
1: satinwood
1: satisfaction
1: satisfaction 
2: satisfactory
2: satisfied
3: satisfy
3: saturday
1: saucepans 
1: saucers
1: saul
3: sauntering
30: savage
9: savage 
2: savage s
1: savageness
1: savagery 
5: savages
4: savages 
9: save
2: saved
1: saved 
3: savoury
49: saw
3: saw 
1: saw fish 
1: sawed
1: saws
1: saws 
73: say
57: say 
5: say  
1: sayest 
14: saying
7: saying 
22: says
5: says 
1: scabbards 
2: scalding
2: scale
1: scale 
3: scales
1: scalloped
1: scalp
1: scalping
2: scandinavian
2: scanning
1: scar
7: scarce
1: scarce 
8: scarcely
1: scarcity 
1: scared
1: scarred
1: scatter
1: scatter  
6: scattered
8: scene
5: scene 
2: scenery
3: scenes
4: scenes 
1: scent 
1: scepti 
1: scepticism
1: sceptre
1: scheme
1: scheme 
1: scheming 
1: scholar 
1: scholar  
1: scholars
2: school
2: school 
1: schoolboys
1: schoolboys 
1: schoolmaster
1: schoolmaster 
1: schoolmasters
3: schooner
2: schooner 
1: schooners 
1: schouten s
4: science
11: scientific
1: scientious
1: scimitars
4: scolding
2: scorched
3: scorching
3: score
4: scores
3: scoresby
6: scoresby 
1: scoria
3: scorn
2: scornful
1: scorning
2: scotch
1: scotch cap
1: scoundrel 
1: scoured 
1: scout
1: scouts
2: scowl 
1: scragg
1: scraggy
1: scrape
1: scraping
1: scraping 
1: scrapings 
1: scratch 
2: screaming
3: screwed
1: screwed down
1: screwing
1: scribed 
1: scribes
1: scrim 
1: scriptural
1: scripture
2: scriptures 
1: scroll
1: scrolls
1: scruples 
1: scrutinising
1: scrutiny
2: scud
1: scud 
1: scuffling
1: sculpture
1: sculpture 
1: sculptures
1: sculptures 
1: scupper holes 
3: scuttle
4: scuttle 
1: scuttle  
1: scuttle butt
1: scuttle butt 
1: scuttling
2: scythes
103: sea
86: sea 
5: sea  
1: sea battle
1: sea blacksmiths 
2: sea boots
1: sea candies
2: sea captain
1: sea captain 
1: sea captains
1: sea charts 
1: sea chest
1: sea coast 
1: sea commanders 
1: sea coopers 
1: sea dogs 
1: sea fowls
1: sea king 
1: sea life
1: sea line
1: sea lion
1: sea loving
1: sea monster
1: sea monster 
1: sea officers
1: sea parisians
1: sea peasant 
1: sea ravens 
1: sea s
1: sea salt
1: sea shell
1: sea sick
1: sea traditions 
1: sea turtles 
1: sea unicorn s
1: sea unicorns
1: sea usages 
1: sea weed
1: sealskin
1: seam
1: seaman
5: seaman 
4: seaman s
19: seamen
9: seamen 
2: seaport 
1: search
1: search 
1: searching
1: searchingly
30: seas
27: seas 
1: seas  
1: season
2: season 
2: season on the line 
2: seasoned
1: seasoning
6: seasons
3: seat
5: seat 
1: seat  
19: seated
1: seated 
2: seating
1: seaward
1: seaward 
1: seaweed
5: sebastian
3: sebastian 
1: sebastian s
1: sebond 
1: secluded
1: secluded 
2: seclusion
27: second
1: second 
3: secondly
1: secrecy
1: secrecy 
11: secret
1: secretly
4: secrets
2: sect
1: section
2: secure
2: secure 
3: secured
1: secured 
1: securely 
2: securing
1: securities
1: security 
1: seden 
1: seducing
1: seductive
119: see
9: see 
1: see  
1: seeching
1: seed
21: seeing
2: seeing 
9: seek
1: seek 
7: seeking
4: seeks
34: seem
3: seem 
142: seemed
5: seemed 
7: seeming
4: seemingly
30: seems
7: seems 
70: seen
14: seen 
1: seen  
1: seer
4: sees
2: seethe
1: seething
1: seethingly
1: seethings 
1: seeva
1: segment
4: seize
6: seized
4: seizing
1: seizings
13: seldom
3: selected
1: selectest
2: selecting
2: selection
5: self
5: self 
1: self adjusting
1: self assumed 
1: self collected
1: self collectedness
1: self command 
1: self created
1: self possessed
2: self same
5: sell
